recipe_id,ingredients,title,ingredients_parsed
GYPnmKsyMUm5BKwv09fP,"['Hakka Noodles', 'Water', 'Salt Or Add As Required', 'Corn Flour', 'Oil As Required For Deep Frying', 'Oil', 'Finely Chopped Ginger', 'Finely Chopped Garlic', 'Sliced Onions', 'Julienned Carrot', 'Sliced Bell Peppers', 'Shredded Cabbage', 'Chopped Spring Onions', 'Tomato Ketchup', 'Soy Sauce', 'Red Chilli Sauce', 'Black Pepper Powder', 'Cornflour', 'Water', 'Sugar', 'Green chillies', 'Juice Of 1 Lime', 'Salt As Required', 'Chopped Spring Onions For Garnish']",American Chop Suey,hakka noodle add required flour required deep onion julienned carrot cabbage onion tomato soy cornflour sugar lime required onion
SzU5p18Okd9ApHCIBiPj,"['Chickpeas', 'Onions', 'Garlic', 'Green Chillies', 'Cumin Powder', 'Coriander', 'Mint Leaves', 'Salt', 'All Purpose Flour', 'Baking Powder', 'Sesame Seeds', 'Oil for Frying']",Crispy Falafel,chickpea onion flour sesame
2xjsdabzMwg4Seak9eSU,"['Curd', 'roasted Jeera Powder', 'Sugar', 'Rock Salt', 'Boondi', 'Green Chilli', 'Coriander Leaves', ' Chilli Powder']",Boondi Raita,curd jeera sugar rock boondi
Lpyd7VVptZrUCvHUYbpQ,"['Whole Wheat Flour', 'Olive Oil', 'Sugar', 'Active Dry Yeast', 'Warm Water', 'Salt']",Whole Wheat Pita Bread,wheat flour sugar yeast
7Fl7731w0dbq1feI09ri,"['Coriander', 'Mint Leaves', 'Green Chillies', 'Lemon Juice', 'Garlic', 'Roasted Chana Dal', 'Salt', 'Water', 'Oil', 'Mustard Seeds', 'Ginger Garlic Paste', 'chopped Curry Leaves', 'Green Chillies', 'Turmeric Powder', 'Red Chilli Powder', 'Coriander Powder', 'Salt', 'Potato', 'Chopped Coriander Leaves', 'Green Peas', 'Butter', 'White Bread', 'Cucumber', 'Tomatoes', 'Onions', 'Green Capsicum', 'Sandwich Masala', 'Sev', 'Ketchup']",Toasted Bombay Sandwich,lemon chana dal paste curry potato pea butter bread cucumber tomato onion capsicum sandwich masala sev
uFgC9ROy8Pr1hbKMfOVw,"['Oil', 'Butter', 'Garlic', 'All purpose flour', ' Whole milk', 'Salt', 'Paprika', 'English mustard', 'Cheddar']",Spicy Nacho Cheese Sauce in just 5 Minutes!,butter flour milk cheddar
mF40PEOvEmPTUooQDwqT,"['chicken', 'Cornflour', 'Rice Flour', 'Ginger Garlic Paste', 'light Soy Sauce', 'Chilli Powder', 'Oil for frying', 'Oil', 'chopped Ginger', 'chopped Garlic', 'whole dried Red Chillies', 'medium Onion', 'Green Capsicum squares', 'Red Capsicum squares', 'Szechuan Sauce', 'Sugar', 'light Soy Sauce', 'Cornflour', 'Water', 'Salt', 'Pepper', 'Chopped Spring Onions for garnishing']",Spicy Szechuan Chicken,chicken cornflour rice flour paste soy onion capsicum square capsicum square szechuan sugar soy cornflour onion garnishing
YTRQzdtyIGCo8M80mFpW,"['Milk Chocolate', 'Dark Chocolate', 'Butter', 'Instant Coffee Powder', 'All-Purpose Flour', 'Caster Sugar', 'Salt', 'Eggs', 'Egg Yolks', 'Cocoa Powder', 'Butter']",Molten Mocha Lava Cake,milk chocolate chocolate butter instant coffee flour caster sugar egg egg yolk butter
kbqCYFxy7vmmXQ9pis4R,"['Strawberries', 'Caster Sugar', 'Digestive Biscuits', 'melted Butter', 'Cream Cheese', 'Heavy Whipping Cream', 'Fresh Strawberry ']",No Bake Strawberry Cheesecake Jars,strawberry caster sugar digestive biscuit butter cream cheese cream strawberry
PsaX4XCtW6wbEP1QDXJL,"['whole Black Pepper', ' Curry Leaves', 'Cumin Seeds', 'Coriander Leaves with stems', 'Garlic', 'Water', 'Tomatoes', 'Oil', 'Mustard Seeds', 'Byadgi Dry Red Chillies', 'Small Round Dry Red Chillies', 'Onion', 'Garlic cloves', 'Turmeric Powder', 'Salt', 'Rasam Powder', 'Tamarind', 'fresh Coriander']",Jesse’s Tomato Rasam,curry tomato byadgi onion rasam
MpLjpw3NWL3EEDHJ4z7C,"['bunches Mustard Leaves', 'packed cup Bathua leaves', 'packed cup Spinach Leaves', 'packed cup Radish Leaves', 'small Radish', 'Green Garlic Scapes', 'chopped Ginger', 'Green Chillies', 'Mustard Oil', 'Ghee', 'Cumin Seeds', 'finely chopped Garlic', 'chopped Ginger', 'Green Chilli Paste', 'chopped Onions', 'chopped Tomatoes', 'Chilli Powder', 'Salt', 'Curds', 'Makki Atta', 'grated Jaggery', 'White Butter for serving']",Punjabi Style Sarson ka Saag,bathua spinach radish radish scape paste onion tomato curd makki atta jaggery butter serving
AHNwTRtDycauuQjjFFaT,"['Onion', 'Tomatoes', 'Cashew Nuts', 'Almonds', 'Garlic', 'Piece Ginger', 'dried Kashmiri Red Chilli', 'Oil', 'Cardamom Pod', 'Cloves', 'Cinnamon', 'Coriander Powder', 'Chilli Powder', 'Turmeric Powder', 'Garam Masala', 'Ghee', 'Kasuri Methi', 'Paneer', 'Paneer', 'Cream', 'Chopped Coriander Leaves']",Paneer Lababdar Recipe,onion tomato cashew kashmiri masala kasuri methi paneer paneer cream
CVbUXpReTHJRKy5SY6KP,"['Mustard Leaves', 'Spinach', 'Daikon Radish with Leaves', 'Green Garlic scapes', 'Mustard Oil', 'Jeera', 'Hing', 'Chopped Garlic', 'Chopped Ginger', 'Chopped Onion', 'Green Chilli Paste', 'Chopped Tomato', 'Coriander Powder', 'Red Chilli Powder', 'Salt', 'Paneer', 'White Butter']",Authentic Saag Paneer,spinach daikon radish scape jeera hing onion paste tomato paneer butter
9UJqT6qp8kQcsGGvKvZd,"['Long Grained Basmati Rice', 'Water', 'Salt', 'Oil', 'Milk', 'Strands Saffron', 'Vegetable Oil', 'Cinnamon', 'Bay Leaf', 'Green Cardamoms', 'Cloves', 'Onion', 'Green Chillies', 'Ginger Garlic Paste', 'Tomatoes', 'Mixed Vegetables', 'freshly Chopped Coriander', 'freshly Chopped Mint Leaves', 'Coriander Powder', 'Chilli Powder', 'Garam Masala', 'Curd or Greek Yoghurt', 'Salt', 'Ghee']",Restaurant Style Veg Biryani,grained rice milk strand vegetable onion paste tomato vegetable masala curd greek yoghurt
xfpNopG0i5Qrce6dM2yO,"['Sweet Potato', 'Olive Oil', 'Garlic Powder', 'Salt', 'Paprika']",Air Fryer Sweet Potato Fries,potato
j3ovdEqWIKGQVYeqngfE,"['Olive Oil', 'Bay leaf', 'Garlic Cloves', 'sliced Onions', 'Spinach (Palak)', 'Salt', 'Pepper', 'Water', 'Milk', 'Cream']",Easy Spinach Soup (Palak Soup),onion spinach milk cream
